planning_run_id,maintenance_plan_id,machine_id,machine_name,maintenance_level,estimated_maintenance_duration_hours,planned_downtime_hours,required_worker_count,estimated_labor_hours,estimated_labor_cost,estimated_spare_part_cost,estimated_external_service_cost,estimated_total_maintenance_cost,cost_basis,downtime_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,MP-FRAME-LIGHT-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,LIGHT,0.75,0.5,1,0.75,31.5,4.625,0,36.125,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-FRAME-MED-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,MEDIUM,3.0,3.0,1,3.0,126.0,42.0,0,168.0,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-FRAME-HEAVY-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,HEAVY,8.0,8.0,2,16.0,672.0,84.0,250,1006.0,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-WHEEL-LIGHT-001,M-WHEEL-TRUE-001,Wheel Truing Stand,LIGHT,0.5,0.25,1,0.5,21.0,3.7,0,24.7,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-WHEEL-MED-001,M-WHEEL-TRUE-001,Wheel Truing Stand,MEDIUM,2.5,2.5,1,2.5,105.0,36.0,0,141.0,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-WHEEL-HEAVY-001,M-WHEEL-TRUE-001,Wheel Truing Stand,HEAVY,6.0,6.0,2,12.0,504.0,95.0,180,779.0,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-BRAKE-LIGHT-001,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,LIGHT,0.5,0.25,1,0.5,21.0,0.0,0,21.0,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-BRAKE-MED-001,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,MEDIUM,2.0,2.0,1,2.0,84.0,28.0,0,112.0,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-FORK-LIGHT-001,M-FORK-BENCH-001,Fork and Suspension Prep Bench,LIGHT,0.75,0.5,1,0.75,31.5,4.625,0,36.125,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260721170405,MP-FORK-MED-001,M-FORK-BENCH-001,Fork and Suspension Prep Bench,MEDIUM,3.5,3.5,1,3.5,147.0,64.0,0,211.0,PLANNING_ESTIMATE_ONLY,MAINTENANCE_PLAN_MASTER_DATA,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
