planning_run_id,machine_id,machine_name,required_skill_id,breakdown_risk_level,expected_repair_hours_next_period,spare_part_readiness_status,crew_skill_coverage_status,crew_capacity_status,active_maintenance_crew_count,estimated_repair_queue_risk_score,estimated_repair_queue_risk_level,repair_queue_risk_reason,queue_measurement_type,actual_repair_queue_available_flag,actual_wait_time_available_flag,note_no_scheduling_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260711141513,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SKILL-MECH-MAINT,CRITICAL,2.81,READY,LIMITED_COVERAGE,FEASIBLE,1,73,HIGH,CRITICAL;LIMITED_COVERAGE,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SKILL-MECH-MAINT,CRITICAL,2.81,READY,LIMITED_COVERAGE,FEASIBLE,1,73,HIGH,CRITICAL;LIMITED_COVERAGE,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-WHEEL-TRUE-001,Wheel Truing Stand,SKILL-MECH-MAINT,CRITICAL,2.05,READY,LIMITED_COVERAGE,FEASIBLE,1,73,HIGH,CRITICAL;LIMITED_COVERAGE,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-WHEEL-TRUE-001,Wheel Truing Stand,SKILL-BASIC-ADJUSTMENT,CRITICAL,2.05,READY,NO_ACTIVE_COVERAGE,NO_ACTIVE_COVERAGE,0,123,CRITICAL,CRITICAL;NO_ACTIVE_COVERAGE;NO_ACTIVE_COVERAGE,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SKILL-BASIC-ADJUSTMENT,CRITICAL,0.41,READY,NO_ACTIVE_COVERAGE,NO_ACTIVE_COVERAGE,0,115,CRITICAL,CRITICAL;NO_ACTIVE_COVERAGE;NO_ACTIVE_COVERAGE,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SKILL-ELEC-MAINT,CRITICAL,0.41,INVENTORY_REVIEW_REQUIRED,LIMITED_COVERAGE,FEASIBLE,1,85,HIGH,CRITICAL;LIMITED_COVERAGE;SPARE_PART_REVIEW,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SKILL-MECH-MAINT,CRITICAL,0.22,INVENTORY_REVIEW_REQUIRED,LIMITED_COVERAGE,FEASIBLE,1,85,HIGH,CRITICAL;LIMITED_COVERAGE;SPARE_PART_REVIEW,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SKILL-LUBRICATION,CRITICAL,0.22,READY,NO_ACTIVE_COVERAGE,NO_ACTIVE_COVERAGE,0,115,CRITICAL,CRITICAL;NO_ACTIVE_COVERAGE;NO_ACTIVE_COVERAGE,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,SKILL-HEAVY-OVERHAUL,CRITICAL,7.5,INVENTORY_REVIEW_REQUIRED,LIMITED_COVERAGE,FEASIBLE,1,105,CRITICAL,CRITICAL;LIMITED_COVERAGE;SPARE_PART_REVIEW,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,SKILL-MECH-MAINT,CRITICAL,7.5,READY,LIMITED_COVERAGE,FEASIBLE,1,85,HIGH,CRITICAL;LIMITED_COVERAGE,ESTIMATED_FROM_MAINTENANCE_PLAN_AND_BREAKDOWN_RISK,False,False,True,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
