review_item_id,planning_run_id,candidate_id,schedule_candidate_window_id,machine_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
SCHED-REVIEW-001,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-001,M-FRAME-JIG-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-001 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-002,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-002,M-FRAME-JIG-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-001 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-003,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-003,M-FRAME-JIG-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-001 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-004,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-004,M-FRAME-JIG-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-001 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-005,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-005,M-FRAME-JIG-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-001 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-006,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-006,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-001 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-007,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-007,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-001 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-008,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-008,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-001 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-009,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-009,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-001 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-010,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-010,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-001 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-011,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-011,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
