planning_run_id,required_skill_id,required_skill_name,maintenance_level,workload_source,planned_maintenance_hours,expected_repair_hours,total_required_hours,active_maintenance_crew_count,light_authorized_production_crew_count,available_crew_hours,utilization_pct,capacity_status,backlog_hours,skill_coverage_status,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,SKILL-BOLT-TIGHTENING,bolt_tightening,LIGHT,PLANNED_LIGHT_AUTONOMOUS_MAINTENANCE,0.5,0.0,0.5,0,2,8.0,6.25,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-CLEANING,cleaning,LIGHT,PLANNED_LIGHT_AUTONOMOUS_MAINTENANCE,0.375,0.0,0.375,0,5,20.0,1.88,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-ELEC-MAINT,electrical_maintenance,MEDIUM,PLANNED_MAINTENANCE,2.0,0.0,2.0,1,0,40.0,5.0,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-LIGHT-MAINT,light_maintenance,MEDIUM,PLANNED_MAINTENANCE,0.75,0.0,0.75,2,0,110.0,0.68,FEASIBLE,0.0,COVERED,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-LUBRICATION,lubrication,LIGHT,PLANNED_LIGHT_AUTONOMOUS_MAINTENANCE,1.5,0.0,1.5,0,2,6.0,25.0,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-MECH-MAINT,mechanical_maintenance,MEDIUM,PLANNED_MAINTENANCE,9.5,0.0,9.5,1,0,80.0,11.88,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-BASIC-ADJUSTMENT,basic_adjustment,LIGHT,EXPECTED_BREAKDOWN_REPAIR,0.0,1.23,1.23,0,0,0.0,999.0,NO_ACTIVE_COVERAGE,1.23,NO_ACTIVE_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-CLEANING,cleaning,LIGHT,EXPECTED_BREAKDOWN_REPAIR,0.0,0.085,0.085,0,0,0.0,999.0,NO_ACTIVE_COVERAGE,0.08,NO_ACTIVE_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-ELEC-MAINT,electrical_maintenance,CALIBRATION,EXPECTED_BREAKDOWN_REPAIR,0.0,0.505,0.505,1,0,40.0,1.26,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-ELEC-MAINT,electrical_maintenance,MEDIUM,EXPECTED_BREAKDOWN_REPAIR,0.0,0.7949999999999999,0.7949999999999999,1,0,40.0,1.99,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-HEAVY-OVERHAUL,heavy_overhaul,HEAVY,EXPECTED_BREAKDOWN_REPAIR,0.0,3.75,3.75,1,0,30.0,12.5,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-LUBRICATION,lubrication,LIGHT,EXPECTED_BREAKDOWN_REPAIR,0.0,0.11,0.11,0,0,0.0,999.0,NO_ACTIVE_COVERAGE,0.11,NO_ACTIVE_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
PHASE4-MPS-20260721170405,SKILL-MECH-MAINT,mechanical_maintenance,MEDIUM,EXPECTED_BREAKDOWN_REPAIR,0.0,7.695,7.695,1,0,80.0,9.62,FEASIBLE,0.0,LIMITED_COVERAGE,SHARED_STEP7E_MAINTENANCE_CREW_CAPACITY,True
