schema_version,run_id,planning_iteration,generated_at,source_phase,target_phase,data_as_of_date,sku_id,confirmed_inbound_units_7d,confirmed_inbound_units_30d,confirmed_inbound_units_60d,confirmed_inbound_units_90d,confirmed_inbound_before_need_date_units,uncertain_inbound_units,next_confirmed_receipt_date,inbound_confidence,inbound_warning_codes
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-BAT-008,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-BBQ-006,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-CHC-005,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COF-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-BOLT-KIT-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-BRAKE-FRONT-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-BRAKE-REAR-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-FRAME-MT-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-FRAME-ROAD-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-PEDAL-SET-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-TIRE-MT-29,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-TIRE-ROAD-700C,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-WHEEL-MT-29,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-COMP-WHEEL-ROAD-700C,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-FIL-009,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-GFT-010,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-SUN-003,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-SUP-004,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-TEA-002,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SKU-UMR-007,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-BEARING-KIT-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-BRAKE-BENCH-TOOL-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-ELECTRICAL-SENSOR-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-FINAL-ASM-JIG-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-FORK-SUSP-SEAL-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-FRAME-JIG-PAD-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-LUBE-OIL-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-PACK-BENCH-SPARE-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-QC-CALIBRATION-KIT-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,PHASE4-MPS-20260726202343,0,2026-07-26T20:25:04Z,PHASE_2,PHASE_3,2026-07-26,SP-WHEEL-TRUING-SPARE-001,0.0,0.0,0.0,0.0,0.0,0.0,,HIGH,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
