schema_version,run_id,planning_iteration,generated_at,source_phase,target_phase,data_as_of_date,sku_id,allocation_id,supplier_id,supplier_role,requested_usable_quantity_units,allocated_usable_quantity_units,unallocated_requirement_units,yield_adjusted_purchase_quantity,moq_adjusted_purchase_quantity,batch_rounded_purchase_quantity,final_supplier_purchase_quantity,normal_delivery_quantity,expedite_quantity,split_delivery_quantity,first_shipment_quantity,remaining_shipment_quantity,expected_first_arrival_date,expected_final_arrival_date,supplier_per_order_capacity_units,supplier_horizon_capacity_units,capacity_used_units,capacity_remaining_units,per_order_capacity_feasible_flag,horizon_capacity_feasible_flag,allocation_capacity_feasible_flag,unit_cost,landed_cost_per_unit,quality_adjusted_unit_cost,estimated_product_cost,estimated_fixed_order_cost,estimated_delivery_cost,estimated_expedite_cost,estimated_delay_cost,estimated_quality_cost,estimated_total_procurement_cost,supplier_reliability_score,supplier_risk_score,supplier_risk_class,return_eligible,expedite_used_flag,split_delivery_used_flag,allocation_feasible_flag,allocation_execution_allowed,human_review_required,allocation_warning_codes,allocation_reason,supplier_capacity_utilization_rate,supplier_capacity_utilization_status,capacity_utilization_availability,total_procurement_cost_kpi_numerator,total_procurement_cost_kpi_denominator_units,total_procurement_cost_per_usable_unit,total_procurement_cost_basis,total_procurement_cost_warning_codes
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COF-001,ALLOC-SKU-COF-001-1-SUP-006,SUP-006,PRIMARY,1880.0,728.57,1151.43,779.22,779.22,780.0,780.0,728.57,0.0,0.0,728.57,0.0,2026-07-17,2026-07-17,728.57,728.57,728.57,0.0,True,True,True,2.02,2.165,2.3155,1688.7,0.0,0.14880000000000002,0.0,0.0,117.39,1806.24,0.7295315359868859,0.2705,MEDIUM,False,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,1.0,FULLY_USED,AVAILABLE,1806.24,728.57,2.4791578022702003,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COF-001,ALLOC-SKU-COF-001-2-SUP-001,SUP-001,SPLIT_SOURCE,1880.0,351.43,800.0,408.64,408.64,409.0,409.0,351.43,0.0,351.43,351.43,0.0,2026-07-09,2026-07-16,351.43,351.43,351.43,0.0,True,True,True,2.18,2.3557,2.7392,963.48,0.0,0.18089999999999998,0.0,0.0,156.85,1120.51,0.5839632617860451,0.416,MEDIUM,False,False,True,True,False,True,SPLIT_SOURCE_REVIEW_REQUIRED,Allocated through split sourcing; manager review is required before execution.,1.0,FULLY_USED,AVAILABLE,1120.51,351.43,3.1884301283328114,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,SPLIT_SOURCE_REVIEW_REQUIRED
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COF-001,ALLOC-SKU-COF-001-3-SUP-003,SUP-003,SPLIT_SOURCE,1880.0,171.43,628.57,194.81,194.81,195.0,195.0,171.43,0.0,171.43,171.43,0.0,2026-07-03,2026-07-05,171.43,171.43,171.43,0.0,True,True,True,2.97,2.8965,3.2915,564.82,0.0,0.09555000000000001,0.0,0.0,77.03,641.94,0.9479291465378422,0.0521,LOW,True,False,True,True,False,True,SPLIT_SOURCE_REVIEW_REQUIRED,Allocated through split sourcing; manager review is required before execution.,1.0,FULLY_USED,AVAILABLE,641.94,171.43,3.7446187948433765,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,SPLIT_SOURCE_REVIEW_REQUIRED
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COF-001,ALLOC-SKU-COF-001-4-SUP-002,SUP-002,SPLIT_SOURCE,1880.0,240.0,388.57,243.65,243.65,244.0,244.0,240.0,0.0,240.0,240.0,0.0,2026-07-06,2026-07-11,240.0,240.0,240.0,0.0,True,True,True,3.75,3.8054,3.8634,928.52,0.0,0.18975,0.0,0.0,14.15,942.86,0.9338500986193293,0.0661,LOW,True,False,True,True,False,True,SPLIT_SOURCE_REVIEW_REQUIRED,Allocated through split sourcing; manager review is required before execution.,1.0,FULLY_USED,AVAILABLE,942.86,240.0,3.9285833333333335,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,SPLIT_SOURCE_REVIEW_REQUIRED
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-TEA-002,ALLOC-SKU-TEA-002-1-SUP-001,SUP-001,PRIMARY,880.0,407.14,472.86,476.74,476.74,477.0,477.0,407.14,0.0,0.0,407.14,0.0,2026-07-17,2026-07-17,407.14,407.14,407.14,0.0,True,True,True,3.4,3.6684,4.2956,1749.83,0.0,0.2817,0.0,0.0,299.17,2049.28,0.5839632617860451,0.416,MEDIUM,False,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,1.0,FULLY_USED,AVAILABLE,2049.28,407.14,5.033354620032422,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-TEA-002,ALLOC-SKU-TEA-002-2-SUP-007,SUP-007,SPLIT_SOURCE,880.0,128.57,344.29,136.92,136.92,137.0,137.0,128.57,0.0,128.57,128.57,0.0,2026-07-04,2026-07-08,128.57,128.57,128.57,0.0,True,True,True,5.31,5.4181,5.7701,742.28,0.0,0.2934,0.0,0.0,48.22,790.8,0.5503131313131313,0.4497,MEDIUM,False,False,True,True,False,True,SPLIT_SOURCE_REVIEW_REQUIRED,Allocated through split sourcing; manager review is required before execution.,1.0,FULLY_USED,AVAILABLE,790.8,128.57,6.150735008166757,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,SPLIT_SOURCE_REVIEW_REQUIRED
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-TEA-002,ALLOC-SKU-TEA-002-3-SUP-002,SUP-002,SPLIT_SOURCE,880.0,278.57,65.72,284.55,284.55,285.0,285.0,278.57,0.0,278.57,278.57,0.0,2026-07-06,2026-07-11,278.57,278.57,278.57,0.0,True,True,True,5.84,5.9231,6.0502,1688.08,0.0,0.29535,0.0,0.0,36.22,1724.6,0.9338500986193293,0.0661,LOW,False,False,True,True,False,True,SPLIT_SOURCE_REVIEW_REQUIRED,Allocated through split sourcing; manager review is required before execution.,1.0,FULLY_USED,AVAILABLE,1724.6,278.57,6.190903543095093,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,SPLIT_SOURCE_REVIEW_REQUIRED
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-SUN-003,ALLOC-SKU-SUN-003-1-SUP-003,SUP-003,PRIMARY,89.0,89.0,0.0,102.53,102.53,103.0,103.0,89.0,0.0,0.0,89.0,0.0,2026-07-08,2026-07-08,214.29,214.29,89.0,125.29,True,True,True,6.34,6.4615,7.4441,665.53,0.0,0.21315,0.0,0.0,101.21,766.96,0.9479291465378422,0.0521,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.4153250268327967,LOW,AVAILABLE,766.96,89.0,8.61752808988764,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-SUP-004,ALLOC-SKU-SUP-004-1-SUP-006,SUP-006,PRIMARY,1200.0,1071.43,128.57,1145.91,1145.91,1146.0,1146.0,1071.43,0.0,0.0,1071.43,0.0,2026-07-17,2026-07-17,1071.43,1071.43,1071.43,0.0,True,True,True,5.53,5.9248,6.3367,6789.82,0.0,0.4072,0.0,0.0,472.04,7262.27,0.7295315359868859,0.2705,MEDIUM,False,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,1.0,FULLY_USED,AVAILABLE,7262.27,1071.43,6.778109629187161,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-SUP-004,ALLOC-SKU-SUP-004-2-SUP-001,SUP-001,SPLIT_SOURCE,1200.0,128.57,0.0,149.5,149.5,150.0,150.0,128.57,0.0,128.57,128.57,0.0,2026-07-09,2026-07-16,514.29,514.29,128.57,385.72,True,True,True,6.0,6.4694,7.5226,970.41,0.0,0.49679999999999996,0.0,0.0,157.98,1128.89,0.5839632617860451,0.416,MEDIUM,False,False,True,True,False,True,SPLIT_SOURCE_REVIEW_REQUIRED,Allocated through split sourcing; manager review is required before execution.,0.24999513892939781,LOW,AVAILABLE,1128.89,128.57,8.780353115034613,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,SPLIT_SOURCE_REVIEW_REQUIRED
