schema_version,run_id,planning_iteration,generated_at,source_phase,target_phase,data_as_of_date,sku_id,requested_requirement_units,total_allocated_usable_quantity,total_supplier_purchase_quantity,allocation_coverage_rate,primary_supplier_id,backup_supplier_id,supplier_count,split_sourcing_used_flag,expedite_used_flag,earliest_arrival_date,final_arrival_date,total_procurement_cost,total_risk_adjusted_procurement_cost,allocation_feasible_flag,unallocated_requirement_units,human_review_required,allocation_warning_codes,requirement_coverage_rate,unallocated_requirement_rate,top_supplier_allocation_share,supplier_concentration_risk_status
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-COF-001,1880.0,1491.43,1628.0,0.7933,SUP-006,SUP-001,4,True,False,2026-06-13,2026-06-27,4511.55,4737.13,False,388.57,True,SPLIT_SOURCE_REVIEW_REQUIRED;REQUIREMENT_NOT_FULLY_ALLOCATED;AGGREGATE_CAPACITY_SHORTFALL,0.7933138297872341,0.20668617021276595,0.488504321356014,LOW
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-TEA-002,880.0,814.28,899.0,0.9253,SUP-001,SUP-007,3,True,False,2026-06-14,2026-06-27,4564.68,4792.91,False,65.72,True,SPLIT_SOURCE_REVIEW_REQUIRED;REQUIREMENT_NOT_FULLY_ALLOCATED;AGGREGATE_CAPACITY_SHORTFALL,0.9253181818181818,0.07468181818181818,0.5,LOW
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-SUN-003,40.0,40.0,42.0,1.0,SUP-004,,1,False,False,2026-07-06,2026-07-06,323.66,339.84,True,0.0,False,NONE,1.0,0.0,1.0,SINGLE_SOURCE
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-SUP-004,1200.0,1200.0,1296.0,1.0,SUP-006,SUP-001,2,True,False,2026-06-19,2026-06-27,8391.16,8810.72,True,0.0,True,SPLIT_SOURCE_REVIEW_REQUIRED,1.0,0.0,0.8928583333333334,HIGH
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-CHC-005,296.0,296.0,319.0,1.0,SUP-006,,1,False,False,2026-06-29,2026-06-29,2614.54,2745.27,True,0.0,False,NONE,1.0,0.0,1.0,SINGLE_SOURCE
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-BBQ-006,0.0,0.0,0.0,1.0,NO_SUPPLIER_REQUIRED,,0,False,False,,,0.0,0.0,True,0.0,False,NO_REPLENISHMENT_REQUIREMENT,1.0,0.0,,NO_ALLOCATION
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-UMR-007,62.0,62.0,71.0,1.0,SUP-003,,1,False,False,2026-06-15,2026-06-15,1026.8,1078.14,True,0.0,False,NONE,1.0,0.0,1.0,SINGLE_SOURCE
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-BAT-008,400.0,400.0,431.0,1.0,SUP-006,,1,False,False,2026-06-29,2026-06-29,5076.98,5330.83,True,0.0,False,NONE,1.0,0.0,1.0,SINGLE_SOURCE
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-FIL-009,0.0,0.0,0.0,1.0,NO_SUPPLIER_REQUIRED,,0,False,False,,,0.0,0.0,True,0.0,False,NO_REPLENISHMENT_REQUIREMENT,1.0,0.0,,NO_ALLOCATION
1.0,INTEGRATED-20260611194759,1,2026-06-11T19:48:09Z,PHASE_2,PHASE_3,2026-06-11,SKU-GFT-010,0.0,0.0,0.0,1.0,NO_SUPPLIER_REQUIRED,,0,False,False,,,0.0,0.0,True,0.0,False,NO_REPLENISHMENT_REQUIREMENT,1.0,0.0,,NO_ALLOCATION
