schema_version,run_id,planning_iteration,generated_at,source_phase,target_phase,data_as_of_date,sku_id,supplier_id,supplier_name,supplier_status,base_supplier_feasible_flag,supplier_active_flag,supplier_history_status,supplier_evidence_status,supplier_requires_review,supplier_watchlist_flag,supplier_risk_score,supplier_risk_class,supplier_reliability_score,expected_lead_time_days,lead_time_std_days,minimum_lead_time_days,maximum_lead_time_days,unit_cost,landed_cost_per_unit,quality_adjusted_unit_cost,moq,order_multiple,batch_size,minimum_order_value,fixed_order_cost,delivery_cost,yield_rate,defect_rate,expected_quality_loss_rate,supplier_capacity_period_unit,supplier_capacity_period_days,supplier_capacity_per_day,supplier_capacity_7d,supplier_capacity_30d,supplier_per_order_capacity_units,order_acceptance_probability,expedite_available,expedite_eligible,expedite_lead_time_days,expedite_capacity_limit,expedite_reliability,split_delivery_available,split_delivery_eligible,minimum_split_quantity,maximum_split_shipments,first_shipment_lead_time_days,remaining_shipment_lead_time_days,accepts_returns,return_eligible,near_expiry_return_possible,expired_return_possible,expected_return_recovery_rate,open_po_confirmed_units_7d,open_po_confirmed_units_30d,open_po_confirmed_units_60d,open_po_confirmed_units_90d,uncertain_inbound_units,next_confirmed_receipt_date,inbound_data_quality_flag,inbound_warning_codes
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-COF-001,SUP-001,Budget Global Export,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.416,MEDIUM,0.5839632617860451,15,6.2,,,2.18,2.3557,2.7392,,1,1,400,0,0.18089999999999998,0.86,0.14,0.14,WEEKLY,7,11.714285714285714,82.0,351.43,162,0.715,False,False,6,162,0.5839632617860451,False,False,0,1,8,15,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-COF-001,SUP-002,EuroSource Precision,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.0661,LOW,0.9338500986193293,10,1.4,,,3.75,3.8054,3.8634,,1,1,600,0,0.18975,0.985,0.015,0.015,WEEKLY,7,8.0,56.0,240.0,136,0.73,True,True,4,136,0.9338500986193293,False,False,0,1,5,10,True,True,True,True,0.92,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-COF-001,SUP-003,Rapid Local Supply,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.0521,LOW,0.9479291465378422,4,1.1,,,2.97,2.8965,3.2915,,1,1,180,0,0.09555000000000001,0.88,0.12,0.12,WEEKLY,7,5.714285714285714,40.0,171.43,120,0.673,True,True,2,120,0.9479291465378422,True,True,40,2,2,4,True,True,False,False,0.85,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-COF-001,SUP-006,MegaBulk Manufacturing,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,True,0.2705,MEDIUM,0.7295315359868859,16,4.2,,,2.02,2.165,2.3155,,1,1,1000,0,0.14880000000000002,0.935,0.065,0.065,WEEKLY,7,24.285714285714285,170.0,728.57,250,0.717,False,False,7,250,0.7295315359868859,True,True,160,4,8,16,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-TEA-002,SUP-001,Budget Global Export,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.416,MEDIUM,0.5839632617860451,16,6.5,,,3.4,3.6684,4.2956,,1,1,400,0,0.2817,0.854,0.146,0.146,WEEKLY,7,13.571428571428571,95.0,407.14,175,0.715,False,False,6,175,0.5839632617860451,False,False,0,1,8,15,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-TEA-002,SUP-002,EuroSource Precision,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.0661,LOW,0.9338500986193293,12,1.6,,,5.84,5.9231,6.0502,,1,1,600,0,0.29535,0.979,0.021,0.021,WEEKLY,7,9.285714285714286,65.0,278.57,145,0.73,True,True,4,145,0.9338500986193293,False,False,0,1,5,10,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-TEA-002,SUP-005,Fallback Trade Partners,INACTIVE,False,False,UNKNOWN,UNKNOWN,False,True,0.2808,MEDIUM,0.7191934663754378,14,8.1,,,4.27,4.492,4.969,,1,1,300,0,0.29475,0.904,0.096,0.096,WEEKLY,7,9.285714285714286,65.0,278.57,145,0.635,False,False,5,145,0.7191934663754378,False,False,0,1,7,13,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-TEA-002,SUP-007,FlexiSource Express,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.4497,MEDIUM,0.5503131313131313,8,2.6,,,5.31,5.4181,5.7701,,1,1,250,0,0.2934,0.939,0.061,0.061,WEEKLY,7,4.285714285714286,30.0,128.57,110,0.75,True,True,3,110,0.5503131313131313,True,True,50,2,3,7,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-SUN-003,SUP-002,EuroSource Precision,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.0661,LOW,0.9338500986193293,13,1.4,,,8.02,8.8461,9.0916,,1,1,600,0,0.4411,0.973,0.027,0.027,WEEKLY,7,10.714285714285714,75.0,321.43,155,0.73,True,True,4,155,0.9338500986193293,False,False,0,1,5,10,True,True,True,True,0.92,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
1.0,INTEGRATED-20260702135327,1,2026-07-02T13:54:55Z,PHASE_2,PHASE_3,2026-07-02,SKU-SUN-003,SUP-003,Rapid Local Supply,ACTIVE,True,True,UNKNOWN,UNKNOWN,False,False,0.0521,LOW,0.9479291465378422,7,1.1,,,6.34,6.4615,7.4441,,1,1,180,0,0.21315,0.868,0.132,0.132,WEEKLY,7,7.142857142857143,50.0,214.29,130,0.673,True,True,2,130,0.9479291465378422,True,False,40,2,2,4,True,True,False,False,0.85,0.0,0.0,0.0,0.0,0.0,,CONFIRMED_OR_NONE,PROVISIONAL_NO_INVENTORY_CONTEXT;BUFFER_REQUIREMENT_NOT_CONNECTED
