spare_part_sku,spare_part_name,criticality,phase1_demand_context_available_flag,phase2_supplier_context_available_flag,phase3_inventory_context_available_flag,linked_machine_count,supplier_coverage_status,inventory_status,integration_status,integration_review_required_flag,source_phase,advisory_only_flag
SP-LUBE-OIL-001,General Machine Lubricating Oil,HIGH,True,True,True,2,COVERED,SUFFICIENT,FULLY_INTEGRATED,False,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-BEARING-KIT-001,General Bearing Replacement Kit,CRITICAL,True,True,True,2,COVERED,SUFFICIENT,FULLY_INTEGRATED,False,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,HIGH,True,True,True,1,LIMITED_COVERAGE,SUFFICIENT,FULLY_INTEGRATED,False,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,MEDIUM,True,True,True,1,LIMITED_COVERAGE,SUFFICIENT,FULLY_INTEGRATED,False,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,MEDIUM,True,True,True,1,LIMITED_COVERAGE,SUFFICIENT,FULLY_INTEGRATED,False,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,CRITICAL,True,True,True,1,LIMITED_COVERAGE,BELOW_REORDER_POINT,PARTIAL_INTEGRATION_REVIEW,True,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,HIGH,True,True,True,1,LIMITED_COVERAGE,BELOW_REORDER_POINT,PARTIAL_INTEGRATION_REVIEW,True,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,CRITICAL,True,True,True,1,LIMITED_COVERAGE,BELOW_SAFETY_STOCK,PARTIAL_INTEGRATION_REVIEW,True,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,LOW,True,True,True,1,LIMITED_COVERAGE,SUFFICIENT,FULLY_INTEGRATED,False,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,CRITICAL,True,True,True,1,COVERED,BELOW_REORDER_POINT,PARTIAL_INTEGRATION_REVIEW,True,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
