crew_id,crew_name,crew_type,machine_id,machine_type,can_operate_flag,can_setup_flag,can_maintain_flag,can_repair_flag,maintenance_level_authorized,authorization_level,certified_flag,source_phase,advisory_only_flag
CREW-PROD-FRAME,Frame Production Crew,PRODUCTION,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,True,True,True,False,LIGHT,ADVANCED,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-PROD-WHEEL,Wheel Assembly Crew,PRODUCTION,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,True,True,True,False,LIGHT,ADVANCED,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-PROD-BRAKE,Brake Assembly Crew,PRODUCTION,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,True,True,True,False,LIGHT,ADVANCED,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-PROD-FRAME,Frame Production Crew,PRODUCTION,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,True,True,True,False,LIGHT,INTERMEDIATE,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-PROD-FINAL,Final Assembly Crew,PRODUCTION,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,True,True,True,False,LIGHT,ADVANCED,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-PROD-QC,Quality Inspection Crew,PRODUCTION,M-QC-TOOLS-001,INSPECTION_TOOLS,True,False,True,False,LIGHT,ADVANCED,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-PROD-PACK,Packaging Crew,PRODUCTION,M-PACK-BENCH-001,PACKAGING_TOOLS,True,False,True,False,LIGHT,INTERMEDIATE,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-MAINT-MECH,Mechanical Maintenance Crew,MAINTENANCE,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,False,False,True,True,FULL,EXPERT,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-MAINT-MECH,Mechanical Maintenance Crew,MAINTENANCE,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,False,False,True,True,FULL,EXPERT,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-MAINT-MECH,Mechanical Maintenance Crew,MAINTENANCE,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,False,False,True,True,FULL,ADVANCED,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-MAINT-MECH,Mechanical Maintenance Crew,MAINTENANCE,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,False,False,True,True,FULL,EXPERT,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-MAINT-MECH,Mechanical Maintenance Crew,MAINTENANCE,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,False,False,True,True,FULL,ADVANCED,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-MAINT-ELEC,Electrical Maintenance Crew,MAINTENANCE,M-QC-TOOLS-001,INSPECTION_TOOLS,False,False,True,True,MEDIUM,EXPERT,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
CREW-MAINT-GEN,General Maintenance Crew,MAINTENANCE,M-PACK-BENCH-001,PACKAGING_TOOLS,False,False,True,True,LIGHT,INTERMEDIATE,True,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
