review_item_id,issue_type,issue_severity,crew_id,skill_id,machine_id,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
WF-REV-0001,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-FRAME-PREP,,Skill SKILL-FRAME-PREP coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0002,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-WHEEL-ASSEMBLY,,Skill SKILL-WHEEL-ASSEMBLY coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0003,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-BRAKE-ASSEMBLY,,Skill SKILL-BRAKE-ASSEMBLY coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0004,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-FINAL-ASSEMBLY,,Skill SKILL-FINAL-ASSEMBLY coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0005,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-QC-INSPECTION,,Skill SKILL-QC-INSPECTION coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0006,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-PACKAGING,,Skill SKILL-PACKAGING coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0007,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-CLEANING,,Skill SKILL-CLEANING coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0008,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-VISUAL-INSPECTION,,Skill SKILL-VISUAL-INSPECTION coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0009,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-LUBRICATION,,Skill SKILL-LUBRICATION coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0010,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-OIL-CHANGE,,Skill SKILL-OIL-CHANGE coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0011,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-BOLT-TIGHTENING,,Skill SKILL-BOLT-TIGHTENING coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0012,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-BASIC-ADJUSTMENT,,Skill SKILL-BASIC-ADJUSTMENT coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0013,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-ABNORMALITY-REPORTING,,Skill SKILL-ABNORMALITY-REPORTING coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0014,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-MECH-MAINT,,Skill SKILL-MECH-MAINT coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0015,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-ELEC-MAINT,,Skill SKILL-ELEC-MAINT coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0016,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-MEDIUM-MAINT,,Skill SKILL-MEDIUM-MAINT coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
WF-REV-0017,SKILL_COVERAGE_REVIEW,MEDIUM,,SKILL-HEAVY-OVERHAUL,,Skill SKILL-HEAVY-OVERHAUL coverage status is LIMITED_COVERAGE.,REVIEW_CREW_SKILL_COVERAGE,False,True
