skill_id,skill_name,skill_category,active_crew_count,production_crew_count,maintenance_crew_count,total_max_skill_hours_per_week,certification_required_flag,coverage_status,source_phase,advisory_only_flag
SKILL-FRAME-PREP,frame_prep,PRODUCTION_OPERATION,1.0,1.0,0.0,80.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-WHEEL-ASSEMBLY,wheel_assembly,PRODUCTION_OPERATION,1.0,1.0,0.0,120.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-BRAKE-ASSEMBLY,brake_assembly,PRODUCTION_OPERATION,1.0,1.0,0.0,80.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-FORK-SUSP,fork_suspension_prep,PRODUCTION_OPERATION,2.0,2.0,0.0,60.0,False,COVERED,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-FINAL-ASSEMBLY,final_assembly,PRODUCTION_OPERATION,1.0,1.0,0.0,160.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-QC-INSPECTION,qc_inspection,QUALITY_INSPECTION,1.0,1.0,0.0,80.0,True,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-PACKAGING,packaging,PRODUCTION_OPERATION,1.0,1.0,0.0,80.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-CLEANING,cleaning,LIGHT_AUTONOMOUS_MAINTENANCE,5.0,5.0,0.0,20.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-VISUAL-INSPECTION,visual_inspection,LIGHT_AUTONOMOUS_MAINTENANCE,5.0,5.0,0.0,22.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-LUBRICATION,lubrication,LIGHT_AUTONOMOUS_MAINTENANCE,2.0,2.0,0.0,6.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-OIL-CHANGE,oil_change,LIGHT_AUTONOMOUS_MAINTENANCE,1.0,1.0,0.0,2.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-BOLT-TIGHTENING,bolt_tightening,LIGHT_AUTONOMOUS_MAINTENANCE,2.0,2.0,0.0,8.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-BASIC-ADJUSTMENT,basic_adjustment,LIGHT_AUTONOMOUS_MAINTENANCE,1.0,1.0,0.0,4.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-ABNORMALITY-REPORTING,abnormality_reporting,LIGHT_AUTONOMOUS_MAINTENANCE,6.0,6.0,0.0,12.0,False,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-MECH-MAINT,mechanical_maintenance,MECHANICAL_MAINTENANCE,1.0,0.0,1.0,80.0,True,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-ELEC-MAINT,electrical_maintenance,ELECTRICAL_MAINTENANCE,1.0,0.0,1.0,40.0,True,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-PM,preventive_maintenance,GENERAL_MAINTENANCE,3.0,0.0,3.0,140.0,True,COVERED,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-MEDIUM-MAINT,medium_maintenance,MEDIUM_MAINTENANCE,1.0,0.0,1.0,50.0,True,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-HEAVY-OVERHAUL,heavy_overhaul,HEAVY_MAINTENANCE,1.0,0.0,1.0,30.0,True,LIMITED_COVERAGE,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-CORRECTIVE,corrective_repair,CORRECTIVE_REPAIR,3.0,0.0,3.0,130.0,True,COVERED,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-TROUBLESHOOT,troubleshooting,GENERAL_MAINTENANCE,2.0,0.0,2.0,90.0,True,COVERED,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-LIGHT-MAINT,light_maintenance,LIGHT_AUTONOMOUS_MAINTENANCE,2.0,0.0,2.0,110.0,False,COVERED,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-FUTURE-WH,future_warehouse_handling,FUTURE_WAREHOUSE,0.0,0.0,0.0,0.0,False,FUTURE_INACTIVE_NOT_REQUIRED,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
SKILL-FUTURE-DEL,future_delivery_driving,FUTURE_DELIVERY,0.0,0.0,0.0,0.0,True,FUTURE_INACTIVE_NOT_REQUIRED,SHARED_STEP7A_WORKFORCE_MASTER_DATA,True
